INFO:root:/homes/hf17/Documents/Paper/E3DNet/tools/finetuning_E3DNet.py --gpus 0,1,2,3,4 --output ./ckpt/E3DNet_ckpt_ucf101 --pretrained_dir ./ckpt/E3DNet_ckpt_kinetics --model_prefix test --load_epoch 26 --cudnn_tune fastest --batch_per_device 8 --n_frame 16 --lr 0.0001 --wd 0.005 --num_class 101 --num_epoch 15 --datadir /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/ --lr_scheduler_step 15
INFO:root:Namespace(batch_per_device=8, batch_size=16, begin_epoch=0, bn_mom=0.9, crop_size=112, cudnn_tune='fastest', datadir='/mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/', epoch_size=100000, gpus='0,1,2,3,4', load_epoch=26, lr=0.0001, lr_scheduler_factor=0.1, lr_scheduler_step=15, model_depth=34, model_prefix='test', momentum=0.9, n_frame=16, num_class=101, num_epoch=15, optimizer='sgd', output='./ckpt/E3DNet_ckpt_ucf101', plot=0, pretrained_dir='./ckpt/E3DNet_ckpt_kinetics', scale_h=128, scale_w=171, wd=0.005, workspace=512)
INFO:root:number of gpu 5
INFO:root:Running on GPUs: [0, 1, 2, 3, 4]
INFO:root:Using epoch size: 100000
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 9537
INFO:lib.data:load data from /mnt/ccnas2/bdp/hf17/Datasets/UCF101/video_data/UCF-101/, num clip_lst 3783
INFO:root:Epoch[0] Batch [1040-1060]	Speed: 16.48 samples/sec	accuracy=0.292500
INFO:root:Epoch[0] Batch [1060-1080]	Speed: 16.60 samples/sec	accuracy=0.311250
INFO:root:Epoch[0] Batch [1080-1100]	Speed: 16.51 samples/sec	accuracy=0.290000
INFO:root:Epoch[0] Batch [1100-1120]	Speed: 16.50 samples/sec	accuracy=0.325000
INFO:root:Epoch[0] Batch [1120-1140]	Speed: 16.48 samples/sec	accuracy=0.301250
INFO:root:Epoch[0] Batch [1140-1160]	Speed: 16.60 samples/sec	accuracy=0.346250
INFO:root:Epoch[0] Batch [1160-1180]	Speed: 16.54 samples/sec	accuracy=0.332500
INFO:root:Epoch[0] Batch [1180-1200]	Speed: 16.57 samples/sec	accuracy=0.338750
INFO:root:Epoch[0] Batch [1200-1220]	Speed: 16.59 samples/sec	accuracy=0.351250
INFO:root:Epoch[0] Batch [1220-1240]	Speed: 16.52 samples/sec	accuracy=0.342500
INFO:root:Epoch[0] Batch [1240-1260]	Speed: 16.53 samples/sec	accuracy=0.392500
INFO:root:Epoch[0] Batch [1260-1280]	Speed: 16.61 samples/sec	accuracy=0.392500
INFO:root:Epoch[0] Batch [1280-1300]	Speed: 16.53 samples/sec	accuracy=0.367500
INFO:root:Epoch[0] Batch [1300-1320]	Speed: 16.55 samples/sec	accuracy=0.396250
INFO:root:Epoch[0] Batch [1320-1340]	Speed: 16.52 samples/sec	accuracy=0.375000
INFO:root:Epoch[0] Batch [1340-1360]	Speed: 16.58 samples/sec	accuracy=0.406250
INFO:root:Epoch[0] Batch [1360-1380]	Speed: 16.54 samples/sec	accuracy=0.400000
INFO:root:Epoch[0] Batch [1380-1400]	Speed: 16.68 samples/sec	accuracy=0.408750
INFO:root:Epoch[0] Batch [1400-1420]	Speed: 16.59 samples/sec	accuracy=0.442500
INFO:root:Epoch[0] Batch [1420-1440]	Speed: 16.56 samples/sec	accuracy=0.383750
INFO:root:Epoch[0] Batch [1440-1460]	Speed: 16.57 samples/sec	accuracy=0.422500
INFO:root:Epoch[0] Batch [1460-1480]	Speed: 16.61 samples/sec	accuracy=0.402500
INFO:root:Epoch[0] Batch [1480-1500]	Speed: 16.55 samples/sec	accuracy=0.443750
INFO:root:Epoch[0] Batch [1500-1520]	Speed: 16.55 samples/sec	accuracy=0.446250
INFO:root:Epoch[0] Batch [1520-1540]	Speed: 16.61 samples/sec	accuracy=0.420000
INFO:root:Epoch[0] Batch [1540-1560]	Speed: 16.59 samples/sec	accuracy=0.446250
INFO:root:Epoch[0] Batch [1560-1580]	Speed: 16.61 samples/sec	accuracy=0.437500
INFO:root:Epoch[0] Batch [1580-1600]	Speed: 16.54 samples/sec	accuracy=0.468750
INFO:root:Epoch[0] Batch [1600-1620]	Speed: 16.53 samples/sec	accuracy=0.431250
INFO:root:Epoch[0] Batch [1620-1640]	Speed: 16.51 samples/sec	accuracy=0.465000
INFO:root:Epoch[0] Batch [1640-1660]	Speed: 16.59 samples/sec	accuracy=0.466250
INFO:root:Epoch[0] Batch [1660-1680]	Speed: 16.61 samples/sec	accuracy=0.452500
INFO:root:Epoch[0] Batch [1680-1700]	Speed: 16.58 samples/sec	accuracy=0.482500
INFO:root:Epoch[0] Batch [1700-1720]	Speed: 16.60 samples/sec	accuracy=0.478750
INFO:root:Epoch[0] Batch [1720-1740]	Speed: 16.62 samples/sec	accuracy=0.483750
INFO:root:Epoch[0] Batch [1740-1760]	Speed: 16.65 samples/sec	accuracy=0.488750
INFO:root:Epoch[0] Batch [1760-1780]	Speed: 16.56 samples/sec	accuracy=0.480000
INFO:root:Epoch[0] Batch [1780-1800]	Speed: 16.63 samples/sec	accuracy=0.500000
INFO:root:Epoch[0] Batch [1800-1820]	Speed: 16.55 samples/sec	accuracy=0.500000
INFO:root:Epoch[0] Batch [1820-1840]	Speed: 16.72 samples/sec	accuracy=0.496250
INFO:root:Epoch[0] Batch [1840-1860]	Speed: 16.69 samples/sec	accuracy=0.465000
INFO:root:Epoch[0] Batch [1860-1880]	Speed: 16.58 samples/sec	accuracy=0.528750
INFO:root:Epoch[0] Batch [1880-1900]	Speed: 16.57 samples/sec	accuracy=0.498750
INFO:root:Epoch[0] Batch [1900-1920]	Speed: 16.57 samples/sec	accuracy=0.500000
INFO:root:Epoch[0] Batch [1920-1940]	Speed: 16.61 samples/sec	accuracy=0.508750
INFO:root:Epoch[0] Batch [1940-1960]	Speed: 16.52 samples/sec	accuracy=0.530000
INFO:root:Epoch[0] Batch [1960-1980]	Speed: 16.57 samples/sec	accuracy=0.532500
INFO:root:Epoch[0] Batch [1980-2000]	Speed: 16.58 samples/sec	accuracy=0.541250
INFO:root:Epoch[0] Batch [2000-2020]	Speed: 16.65 samples/sec	accuracy=0.543750
INFO:root:Epoch[0] Batch [2020-2040]	Speed: 16.69 samples/sec	accuracy=0.557500
INFO:root:Epoch[0] Batch [2040-2060]	Speed: 16.65 samples/sec	accuracy=0.526250
INFO:root:Epoch[0] Batch [2060-2080]	Speed: 16.64 samples/sec	accuracy=0.546250
INFO:root:Epoch[0] Batch [2080-2100]	Speed: 16.58 samples/sec	accuracy=0.543750
INFO:root:Epoch[0] Batch [2100-2120]	Speed: 16.55 samples/sec	accuracy=0.557500
INFO:root:Epoch[0] Batch [2120-2140]	Speed: 16.53 samples/sec	accuracy=0.530000
INFO:root:Epoch[0] Batch [2140-2160]	Speed: 16.60 samples/sec	accuracy=0.535000
INFO:root:Epoch[0] Batch [2160-2180]	Speed: 16.55 samples/sec	accuracy=0.546250
INFO:root:Epoch[0] Batch [2180-2200]	Speed: 16.63 samples/sec	accuracy=0.567500
INFO:root:Epoch[0] Batch [2200-2220]	Speed: 16.62 samples/sec	accuracy=0.565000
INFO:root:Epoch[0] Batch [2220-2240]	Speed: 16.55 samples/sec	accuracy=0.552500
INFO:root:Epoch[0] Batch [2240-2260]	Speed: 16.66 samples/sec	accuracy=0.552500
INFO:root:Epoch[0] Batch [2260-2280]	Speed: 16.60 samples/sec	accuracy=0.592500
